instruction,input,output,category
Jelaskan apa itu Stasiun Kediri dalam konteks budaya dan tradisi Indonesia.,,"Status bangunan stasiun yang masih asli dan tidak mengalami perubahan sedang dikaji sebagai cagar budaya oleh BPCB Jawa Timur. Meskipun berstatus cagar budaya, sebagian dari bangunan ini telah dilakukan renovasi dan ditingkatkan untuk menampung fasilitas lain. Namun, ornamen bangunan stasiun pada bagian atap yang menjadi ciri khas sudah tidak tampak. Ornamen yang serupa juga terdapat di bagian depan Stasiun Mojokerto.",Sejarah_Nusantara
Bagaimana Mas Masad dari Banten mencerminkan nilai-nilai dan tradisi masyarakat Indonesia?,,Syekh Mas Masad () adalah seorang ulama dan panglima kesultanan banten yang bertugas menyebarkan agama islam di wilayah cikal bakal Tigaraksa sekitar tahun 1400 M.,Sejarah_Nusantara
Ceritakan secara singkat tentang Circle K dan signifikansinya bagi masyarakat setempat.,,"Pada tahun 2003 Alimentation Couche-Tard (ACT) sebuah perusahaan retail convenience store terbesar dari Kanada mengakuisisi brand/merek Circle K. Gerai Circle K saat ini dapat dijumpai hampir di berbagai belahan dunia seperti di Amerika Serikat, Meksiko, Jepang, Macau, China, Taiwan, Guam, Hong Kong, dan Indonesia. Circle K pertama kali hadir di Indonesia pada tahun 1986 di kota Jakarta, tepatnya di Jalan Panglima Polim, Jakarta Selatan. Circle K lalu merambah keluar Jakarta dengan membuka store luar Jakarta pertamanya di Bali pada tahun 1996. Circle K Yogyakarta menyusul pada tahun 2000, Circle K Bandung juga menyusul tahun 2001. Saat ini Circle K memiliki gerai di hampir setiap kota besar di seluruh Indonesia dan mempekerjakan lebih kurang 700 tenaga kerja di Indonesia, Circle K memiliki jaringan di Jakarta (23 gerai), Bandung (7 gerai), Yogyakarta (38 gerai), and Bali (42 gerai).",Sejarah_Nusantara
Apa makna dan peran Avant-garde jazz dalam kehidupan masyarakat Indonesia?,,"Avant garde menantang pendengar melalui pilihan musikalitas musisinya, dibanding pendekatan tradisional yang selama ini diikuti musisi jazz. Semua aspek musik diberi keleluasan untuk berimprovisasi. Musik ini sering dikenal melebihi pola titi nada, dan bentuk musikal umum, membolehkan erangan, pekikan dan tangisan dalam menyampaikan energi, dan emosi komunikasi individu musisinya .",Sejarah_Nusantara
Ceritakan secara singkat tentang China Postal Airlines dan signifikansinya bagi masyarakat setempat.,,"Sejarah China Postal Airlines didirikan pada 25 November 1996 dan mulai beroperasi pada 27 Februari 1997. Maskapai ini dimiliki oleh Biro Pos Cina (51%) dan China Southern Airlines (49%). Maskapai ini awalnya dibentuk untuk mengoperasikan layanan pos domestik, tetapi pada tahun 2006 memperkenalkan layanan dijadwalkan internasional ke Korea Selatan dan Jepang. Dari Januari 2007, layanan carter kargo internasional diperkenalkan.",Sejarah_Nusantara
Jelaskan apa itu Bahasa Arab Jabal dalam konteks budaya dan tradisi Indonesia.,,"Bahasa Arab Jebli sangat dipengaruhi bahasa Berber; Tata bahasa Jebli hampir Berber, sedangkan sebagian besar kata-katanya adalah bahasa Arab. Perbendaharaan kata sangat dipengaruhi bahasa Spanyol.",Sejarah_Nusantara
Jelaskan apa itu Gautama Siddha dalam konteks budaya dan tradisi Indonesia.,,"Gautama Siddha, (abad ke-8) adalah seorang astronom, astrolog dan pembuat kompilasi keturunan India, yang dikenal karena memimpin pengkompilasian Catatan tentang Astrologi pada Zaman Kaiyuan pada masa Dinasti Tang. Ia lahir di Chang'an, dan keluarganya berasal dari India, menurut sebuah prasasti makam yang tak tersoroti pada 1977 di Xi'an. Keluarga Gautama diyakini singgah di China selama beberapa generasi, dan datang ke China sebelum pendirian Dinasti Tang. Ia paling dikenal karena menerjemahkan kalender Navagraha ke dalam bahasa Tionghoa. Ia juga memperkenalkan penomoran Indian dengan angka nol (〇) pada 718 di China sebagai pengganti dari batang bilangan.",Sejarah_Nusantara
Ceritakan secara singkat tentang Koile Suriah dan signifikansinya bagi masyarakat setempat.,,"Coele-Syria, Coele Syria, Coelesyria (, Koílē Syría), juga disebut sebagai Coelosyria, Celesyria dan Hollow Syria (, ), adalah sebuah wilayah di Suriah pada zaman klasik. Wilayah tersebut diyakini berasal dari bahasa Aram untuk seluruh wilayah Suriah namun lebih sering ditujukan kepada Lembah Beqaa antara pegunungan Lebanon dan Anti-Lebanon. Wilayah tersebut sekarang meliputi bagian dari negara-negara modern Lebanon dan Suriah.",Sejarah_Nusantara
Apa yang dimaksud dengan Tadepalli Lakshmi Kanta Rao dan bagaimana keberadaannya dalam budaya Indonesia?,,"Tadepalli Lakshmi Kanta Rao (; ) adalah seorang aktor dan produser film India dari sinema Telugu. Ia membintangi lebih dari 400 film mitologi, sosial dan foklor Telugu. Ia juga berakting dalam beberapa film Hindi, Kannada dan Tamil. Ia memproduksi sekitar lima film dibawah label Hyma Films. Pada 1960an, ia menjadi salah satu aktor utama dalam sinema Telugu, bersama dengan N. T. Rama Rao dan Akkineni Nageswara Rao. Kanta Rao dikenal karena memainkan peran Narada, Sri Krisna, Arjuna. Ia memerankan Laksmana dalam film blockbuster Lava Kusha yang membuatnya memenangkan Penghargaan Rashtrapati untuk aktor terbaik pada 1963.",Budaya_Tradisi
Ceritakan secara singkat tentang Dörfles-Esbach dan signifikansinya bagi masyarakat setempat.,,"Sejarah Esbach edikenal sebagai Groß-Espe sampai tahun 1149, sementara Dörfles sejak tahun 1317. Sampai tahun 1918, 2 kotamadya ini merupakan bagian Kadipaten Sachsen-Coburg. Pada tahun 1971 Dörfles dan Esbach digabung menjadi satu kotamadya.",Sejarah_Nusantara
Bagaimana Denmark mencerminkan nilai-nilai dan tradisi masyarakat Indonesia?,,"Denmark, yang menganut konsep ekonomi kapitalis pasar campuran sekaligus kesejahteraan sosial, adalah negara yang memiliki pendapatan tertinggi di dunia. Berdasarkan majalah Forbes, Denmark adalah negara yang memiliki iklim bisnis terbaik. Dari tahun 2006 sampai 2008, survei mengatakan bahwa Denmark adalah ""tempat yang paling menyenangkan di dunia"", dipandang dari standar kesehatan, kesejahteraan, dan pendidikan. Survei Global Peace Index tahun 2009 mengatakan bahwa Denmark menduduki posisi negara paling damai kedua di dunia setelah Selandia Baru. Pada tahun 2009, Denmark adalah salah satu dari negara yang paling tidak korup di dunia berdasarkan Indeks Persepsi Korupsi, posisi kedua setelah Selandia Baru.",Sejarah_Nusantara
Deskripsikan Ibnu Tumart sebagai bagian dari kekayaan budaya Nusantara.,,"Nasab Ibnu Tumart memiliki nama lengkap Abu Abdillah Muhammad bin Abdillah Abdulrahman Al-Maghribi al-Susi. Tahun kelahirannya diperkirakan antara tahun 469 Hijriah hingga 474 Hijriah. Tempat lahirnya adalah di Maghribi. Kabilah Ibnu Tumart adalah Kabilah Mashmudah Barbar. Ia adalah cucu dari keluarga Alawiyyin dari jalur Adarisah. Keluarganya menyatu sebagai Kabilah Mashmudah Barbar setelah keruntuhan Dinasti Adarisah. Ia merupakan keturunan bangsa Arab, namun memiliki tradisi bangsa Barbar.",Sejarah_Nusantara
Jelaskan apa itu Festival Kartini dalam konteks budaya dan tradisi Indonesia.,,"Fungsi dan Tujuan Acara Festival Kartini berfungsi untuk memperkuat branding Jepara. Tujuan diadakannya Festival Kartini sebagai event yang memperkenalkan Jepara, sehingga jika orang mendengar Festival Kartini maka terbayang suatu event besar yang digelar di Kabupaten Jepara.",Budaya_Tradisi
Bagaimana Angkatan Bersenjata Mongolia mencerminkan nilai-nilai dan tradisi masyarakat Indonesia?,,"Angkatan Bersenjata Mongolia (, Mongol ulsyn zevsegt hüchin) adalah nama untuk tentara Mongolia dan pasukan gabungan yang membentuknya. Tentara Mongolia ditugaskan melindungi kemerdekaan, kedaulatan, dan integritas wilayah Mongolia. Didefinisikan sebagai konfigurasi masa damai, strukturnya saat ini terdiri dari dua cabang: pasukan darat dan angkatan udara. Dalam hal situasi perang Pasukan Perbatasan, Pasukan Internal dan Badan Manajemen Darurat Nasional akan ditata ulang ke dalam struktur angkatan bersenjata. Hari libur resmi militer mereka adalah Hari Pria dan Tentara (Эр цэргийн баяр, Эрчүүдийн баяр) pada tanggal 18 Maret, setara dengan Hari Pembela Tanah Air di Rusia.",Sejarah_Nusantara
Ceritakan secara singkat tentang Paus Pius X dan signifikansinya bagi masyarakat setempat.,,"Giuseppe memiliki tiga saudara laki-laki dan enam saudara perempuan: Giuseppe Sarto (lahir tahun 1834; meninggal setelah enam hari), Angelo Sarto (1837–1916), Teresa Parolin-Sarto (1839–1920), Rosa Sarto (1841–1913), Antonia Dei Bei- Sarto (1843–1917), Maria Sarto (1846–1930), Lucia Boschin-Sarto (1848–1924), Anna Sarto (1850–1926), Pietro Sarto (lahir 1852; meninggal setelah enam bulan). Dia menolak segala jenis bantuan untuk keluarganya; saudara lelakinya tetap menjadi juru tulis pos, keponakan kesayangannya tetap sebagai pendeta desa, dan tiga saudara perempuan lajangnya hidup bersama dekat dengan kemiskinan di Roma, dengan cara yang sama seperti orang lain dengan latar belakang yang rendah hati yang sama hidup.",Sejarah_Nusantara
Apa yang dimaksud dengan Kekristenan di Korea dan bagaimana keberadaannya dalam budaya Indonesia?,,"Abad ke-18 Di Korea pada awalnya agama Katolik disebut Seohak atau Ajaran dari Barat. Istilah Seohak dipopulerkan oleh kaum Sirhak (cendekiawan). Kaum Sirhak mulai membawa buku-buku teks Kristen serta membuat fondasi pertama bagi agama Katolik di Korea walau ditentang oleh pemerintahan dan kaum bangsawan. Salah satu orang Korea yang pertama yang dikenal masuk agama Kristen adalah Yi Seung-hun (1756-1801) yang dibaptis di Beijing, Cina. Ilmuwan Sirhak terkenal yang pertama kali memeluk Katolik adalah Jeong Yak-yong.",Sejarah_Nusantara
Apa makna dan peran Isol orang Pisa dalam kehidupan masyarakat Indonesia?,,"Referensi Demurger, Alain (2007). Jacques de Molay. Editions Payot. Richard, Jean (1970). ""Isol le Pisan: Un aventurier franc gouverneur d'une province mongole?"" Central Asiatic Journal, 14: 186–94. Richard, Jean. Histoire des Croisades. Fayard. Schein, Sylvia (1979). ""Gesta Dei per Mongolos 1300. The Genesis of a Non-Event."" English Historical Review, 94:373 (October), pp. 805–819. Sinor, Denis (1975). ""The Mongols and Western Europe."" A History of the Crusades III: The Fourteenth and Fifteenth Centuries, Harry W. Hazard, ed. Madison, Wisconsin: University of Wisconsin Press.",Sejarah_Nusantara
Jelaskan asal-usul dan fungsi Farah Meuthia dalam tradisi masyarakat Indonesia.,,"Farah Meuthia merupakan seorang aktris berkebangsaan Indonesia. Berkarier hanya selama kurang lebih tiga tahun (1979-1981), tetapi ia cukup dikenal lewat film Yuyun Pasien Rumah Sakit Jiwa pada tahun 1979 dan berhasil memperoleh nominasi dalam ajang Festival Film Indonesia 1980.",Budaya_Tradisi
Bagaimana Kartika Sari Dewi Soekarno mencerminkan nilai-nilai dan tradisi masyarakat Indonesia?,,"Aktivitas Kartika dibesarkan oleh ibunya di Paris, Prancis. Kartika kemudian meneruskan sekolahnya di Swiss. Setelah lulus, dia dan ibunya kembali ke Jepang dan Kartika bekerja sebagai wartawan televisi di Tokyo. Saat ibunya pindah ke AS, Kartika turut serta dan bekerja di biro periklanan di New York. Selama berada di AS, Kartika juga pernah bekerja di sebuah yayasan swasta. Pengalamannya itu membuat Kartika mendirikan yayasannya sendiri, yaitu Kartika Soekarno Foundation (KSF) yang bergerak di pendidikan dasar, kebudayaan, dan kesejahteraan ibu-anak Indonesia. Kantor pusat yayasan ini berada di Amsterdam, Belanda.",Sejarah_Nusantara
Apa makna dan peran Orkes Melayu dalam kehidupan masyarakat Indonesia?,,"Dengan melihat ke belakang, awal Musik Melayu berakar dari Qasidah yang berasal sebagai kedatangan dan penyebaran Agama Islam di Nusantara pada tahun 635 - 1600 dari Arab, Gujarat dan Persia, sifatnya pembacaan syair dan kemudian dinyanyikan. Oleh sebab itu, awalnya syair yang dipakai adalah semula dari Gurindam yang dinyanyikan, dan secara berangsur kemudian dipakai juga untuk mengiringi tarian.",Budaya_Tradisi
Deskripsikan Nahdlatul Wathan sebagai bagian dari kekayaan budaya Nusantara.,,"Pendirian NWDI dan NBDI Pada 1934, T.G.K.H. Muhammad Zainuddin Abdul Majid yang baru saja menyelesaikan pendidikannya di Madrasah Saulatiyah Makkah mendirikan Pondok Pesantren Al-Mujahidin di Lombok. Setelah memimpin pesantren tersebut selama tiga tahun, T.G.K.H. Muhammad Zainuddin Abdul Majid mendirikan Madrasah Nahdlatul Wathan Diniyah Islamiyah (NWDI) bagi murid laki-laki pada 22 Agustus 1937. Pada 21 April 1943, T.G.K.H. Muhammad Zainuddin Abdul Majid mendirikan Madrasah Nahdlatul Banat Diniyah Islamiyah (NBDI) yang dikhususkan bagi murid perempuan. Kedua madrasah ini kemudian memperluas jaringannya ke seluruh Lombok.",Sejarah_Nusantara
Ceritakan secara singkat tentang Masjid Burmalı dan signifikansinya bagi masyarakat setempat.,,"Masjid Burmalı (bahasa Turki: Burmalı Camii) (bahasa Indonesia: Masjid Spiral) atau lebih dikenal dengan Masjid Minaret Burmalı (bahasa Turki: Burmalı Minare Camii) (bahasa Turki: Masjid Minaret Spiral) adalah sebuah masjid bersejarah peninggalan Kesultanan Utsmaniyah pada abad ke-16 yang berada di distrik Fatih, Provinsi Istanbul, Turki. Masjid ini awalnya dibangun pada tahun 1550, atas perintah Emin Nuretti Efendi. Bangunan masjid ini sebagian meniru arsitektur Dinasti Seljuk dan memiliki keunikan tersendiri yaitu tidak memiliki kubah, hanya memiliki satu minaret saja.",Sejarah_Nusantara
Jelaskan asal-usul dan fungsi Jian Yong dalam tradisi masyarakat Indonesia.,,"Suatu saat, terjadi bencana kekeringan di Provinsi Yi, lalu suatu undang-undang melarang alkohol diberlakukan. Orang-orang yang membuat minuman keras bisa dihukum. Para pejabat yang terlalu bersemangat menyita perkakas meramu alkohol dari beberapa keluarga pembuat alkohol dan mengusulkan agar para pemilik perkakas tersebut dihukum seolah-olah mereka benar-benar sedang meramu alkohol. Ketika Jian Yong dan Liu Bei menginspeksi tanah mereka, mereka melihat sepasang kekasih berjalan melintas, lalu Jian berkata pada tuannya, ""Mereka berencana melakukan tindakan yang tidak pantas. Mengapa kita tidak menangkap mereka?"" Liu Bei kemudian bertanya, ""Bagaimana kamu tahu mereka akan melakukan hal itu?"" Jian Yong menjawab, ""Mereka sudah mempersiapkan peralatannya, sama seperti para pemilik peralatan meramu alkohol yang memiliki peralatan untuk membuat minuman keras."" Liu Bei tertawa dan kemudian tidak menghukum keluarga-keluarga yang memiliki peralatan meramu alkohol. Begitulah penggambaran kecerdikan Jian Yong.",Sejarah_Nusantara
Deskripsikan Pietro Ottoboni (kardinal) sebagai bagian dari kekayaan budaya Nusantara.,,"Sumber Cardinal Pietro Ottoboni (1667-1740) And The Vatican Tomb Of Pope Alexander VIII Edward J. Olszewski (2004) DIANE Art & Art Instruction ISBN 0-87169-252-X The Inventory of Paintings of Cardinal Pietro Ottoboni (1667-1740) Edward J. Olszewski (2004) AUS, Series XX Fine Arts, Vol. 36. ISBN 0-8204-6373-6 Michael Ranft (1769) Leben und Thaten aller in diesem XVIII Jahrhundert gelebten und theils noch lebenden Cardinäle der Römischen Kirche in III Theilen, p. 268-281.",Budaya_Tradisi
Deskripsikan Radin Intan II sebagai bagian dari kekayaan budaya Nusantara.,,"Perjuangan Pada saat Radin Intan II lahir tahun 1834, ayahnya, Radin Imba II, ditangkap oleh Belanda dan dibuang ke Timor, akibat memimpin perlawanan bersenjata menentang kehadiran Belanda yang ingin menjajah Lampung. Istrinya yang sedang hamil tua, Ratu Mas, tidak dibawa ke pengasingannya. Pemerintahan Kebandaran Keratuan Lampung dijalankan oleh Dewan Perwalian yang dikontrol oleh Belanda.",Sejarah_Nusantara
Deskripsikan Shō Sei sebagai bagian dari kekayaan budaya Nusantara.,,"Referensi Kerr, George H. (1965). Okinawa, the History of an Island People. Rutland, Vermont: C.E. Tuttle Co. OCLC 39242121 Smits, Gregory. (1999). Visions of Ryukyu: Identity and Ideology in Early-Modern Thought and Politics, Honolulu: University of Hawaii Press. ; OCLC 39633631",Sejarah_Nusantara
Bagaimana Tari Mesekat mencerminkan nilai-nilai dan tradisi masyarakat Indonesia?,,"Mesekat salah satu tarian dari suku Alas di Aceh Tenggara, merupakan tarian yang dibawakan oleh anak-anak sampai orang dewasa secara berkelompok dengan posisi berbaris, sepertinya halnya orang salat saat membaca tahayatul akhir. Dalam tarian biasanya yang dipilih menjadi imam adalah kadi atau she yang nantinya menjadi panutan dalam gerak dan syair yang dibacakan secara serentak dan serasi dan dilaksanakan dengan irama shalawat dan qasidah.",Budaya_Tradisi
Jelaskan apa itu Droit du seigneur dalam konteks budaya dan tradisi Indonesia.,,"Droit du seigneur (, 'hak penguasa'), juga dikenal dengan sebutan jus primae noctis (, 'hak malam pertama'), adalah hak yang konon pernah ada di Eropa pada Abad Pertengahan yang mengizinkan para penguasa feudal untuk berhubungan seks dengan wanita yang menjadi bawahannya, khususnya pada malam pernikahan mereka.",Budaya_Tradisi
Jelaskan apa itu Wiman dari Gojoseon dalam konteks budaya dan tradisi Indonesia.,,"Biografi Setelah Dinasti Han mempercayakan Lu Wan dengan bekas wilayah Yan, ia memberontak dan akhirnya melarikan diri ke utara wilayah Xiongnu. Pada saat pemberontakan politik ini, populasi mencari tempat untuk mengungsi ke arah timur membesar. Wiman konon merupakan salah satu dari para pengungsi tersebut yang konon memimpin lebih dari seribu pengikut (berpakaian gaya Joseon dan ia sendiri mengenakan jambul yang berbeda di atas kepalanya) ke Gojoseon. Ia awalnya diperintahkan untuk membentengi perbatasan barat laut Gojoseon oleh Jun dari Gojoseon, namun dengan pengokohan kekuasaannya dari para pengungsi Yan, Wiman merebut tahkta kerajaan (194~180 SM). Raja Jun konon mengungsi ke Jin (Korea) dan menyebut dirinya sendiri ""Raja dari Han.""",Sejarah_Nusantara
Apa makna dan peran Perang kolonial dalam kehidupan masyarakat Indonesia?,,"Makna kekalahan dan kemenangan biasanya lebih rumit dalam perang kolonial, karena dalam banyak kasus kekuatan penjajah akan menghadapi pertempuran yang tidak diorganisir oleh kota, pemerintah atau penguasa setempat. Seringkali terjadi perbedaan antara warga asli dengan pihak angkatan bersenjata dari negara kolonial asing. Kurangnya otoritas terpusat ini membuat perjanjian damai formal jarang dibuat. Tanpa struktur pemerintah yang dapat dikuasai menyebabkan administrasi masyarakat dan wilayah yang ditaklukkan menjadi lebih sulit. Untuk mengatasi masalah ini, pasukan kolonial akan mendirikan atau membangun kembali pasar, sekolah, dan fasilitas publik lainnya setelah konflik, seperti yang dilakukan oleh Amerika di Filipina setelah Perang Spanyol-Amerika.",Sejarah_Nusantara
